#sn_name        z                zerr            bmag              bmagerr          s                serr            col               colerr              
SDSS1576        0.4767220        0.0000100       22.4699993        0.1060000        0.6370000        0.0550000       -0.2290000        0.0980000
sn2005fb        0.1840000        0.0000100       20.2709999        0.0500000        1.0990000        0.0270000       -0.0510000        0.0270000
SDSS1601        0.3293270        0.0000100       20.2819996        0.0330000        1.0990000        0.0270000       -0.0090000        0.0340000
SDSS1650        0.3043410        0.0000100       22.3810005        0.1300000        0.7440000        0.0840000       -0.0050000        0.0850000
SDSS1658        0.2772960        0.0000100       21.6609993        0.0490000        1.0510000        0.0420000       -0.0430000        0.0500000
SDSS1688        0.3591610        0.0000100       22.0839996        0.0840000        1.0549999        0.1150000        0.0060000        0.0800000
SDSS1740        0.1676360        0.0000100       20.4260006        0.0290000        0.9370000        0.0240000       -0.0550000        0.0260000
SDSS1748        0.3395270        0.0000100       22.4270000        0.0940000        1.0590000        0.0850000        0.0740000        0.0780000
SDSS1750        0.2599700        0.0000100       22.0599995        0.0990000        1.0850000        0.0730000        0.1800000        0.0820000
sn2005fj        0.1419100        0.0000100       20.0209999        0.0390000        1.1260000        0.0570000       -0.0090000        0.0220000
SDSS1958        0.3698000        0.0000100       19.9990005        0.0310000        1.1260000        0.0570000        0.0230000        0.0360000
SDSS1979        0.2868930        0.0000100       21.7259998        0.0680000        0.6570000        0.0650000       -0.0540000        0.0700000
SDSS1991        0.3154840        0.0000100       21.5499992        0.0880000        0.9360000        0.1020000       -0.0400000        0.0990000
sn2005fo        0.2630880        0.0000100       21.2299995        0.0650000        1.1300000        0.0470000       -0.0760000        0.0570000
SDSS2041        0.2098210        0.0000100       21.4370003        0.1160000        0.8100000        0.1400000       -0.0100000        0.0810000
SDSS2064        0.4566930        0.0000100       22.4190006        0.1010000        0.7340000        0.1600000       -0.1130000        0.0830000
SDSS2078        0.3237730        0.0000100              NaN              NaN        0.4000000        0.0000000              NaN              NaN
SDSS2079        0.3065760        0.0000100              NaN              NaN        1.6000000       -0.0000000              NaN              NaN
SDSS2081        0.2516640        0.0000100       21.3169994        0.0810000        0.8310000        0.0880000       -0.1260000        0.0760000
SDSS2149        0.2956390        0.0000100       21.7889996        0.0640000        0.9930000        0.0680000       -0.0990000        0.0590000
SDSS2181        0.3786400        0.0000100       22.1860008        0.1600000        0.5620000        0.0580000       -0.1150000        0.0940000
SDSS2235        0.3478420        0.0000100       22.0890007        0.1470000        1.2430000        0.1570000       -0.0800000        0.0650000
SDSS2290        0.3304630        0.0000100       24.7830009        0.4650000        0.6140000        0.1190000        0.4790000        0.1960000
sn2005fp        0.2132000        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
SDSS2335        0.1841840        0.0000100       26.0330009        0.3120000        1.4290000        0.2410000        0.3490000        0.1400000
SDSS2347        0.4038820        0.0000100       26.7779999        0.3470000        0.8580000        0.1670000        0.0610000        0.1960000
sn2005ft        0.1804650        0.0000100       20.5480003        0.0320000        1.0549999        0.0240000        0.0080000        0.0250000
sn2005fu        0.1911390        0.0000100       20.5970001        0.0380000        1.0210000        0.0260000       -0.1120000        0.0300000
SDSS2532        0.2688930        0.0000100       21.5070000        0.0810000        0.9870000        0.0510000       -0.0660000        0.0760000
SDSS2539        0.4394390        0.0000100       21.6560001        0.0750000        0.9870000        0.0510000        0.0260000        0.0580000
SDSS2551        0.2490610        0.0000100       22.1210003        0.1230000        0.7960000        0.0880000       -0.2410000        0.0950000
sn2005fv        0.1181290        0.0000100       19.8150005        0.0310000        0.9970000        0.0140000        0.0530000        0.0160000
SDSS2630        0.3507200        0.0000100       21.9309998        0.0660000        1.0450000        0.0700000       -0.1020000        0.0630000
sn2005fa        0.1614890        0.0000100       20.1940002        0.0340000        1.1470000        0.0220000        0.0240000        0.0240000
SDSS2746        0.1192400        0.0000100       20.2259998        0.0300000        1.1470000        0.0220000        0.0590000        0.0210000
SDSS2766        0.1499370        0.0000100       19.9640007        0.0560000        0.8870000        0.0480000       -0.0460000        0.0300000
SDSS2784        0.3999910        0.0000100              NaN              NaN              NaN              NaN              NaN              NaN
sn2005fx        0.2904790        0.0000100       21.4009991        0.0700000        0.8700000        0.0480000       -0.1540000        0.0690000
SDSS2799        0.3769200        0.0000100       22.2430000        0.1600000        0.7860000        0.1210000        0.0070000        0.0900000
SDSS2855        0.2450750        0.0000100       21.0979996        0.0640000        1.0850000        0.0330000       -0.0630000        0.0580000
SDSS2871        0.2922520        0.0000100       25.9440002        0.3680000        1.3260000        0.2890000        1.0570000        0.1470000
SDSS2926        0.3042870        0.0000100       21.4319992        0.0770000        0.8940000        0.0440000       -0.1190000        0.0820000
sn2005gp        0.1266040        0.0000100       20.0319996        0.0390000        0.8990000        0.0150000        0.1110000        0.0210000
sn2005ga        0.1744040        0.0000100       20.1819992        0.0280000        1.0020000        0.0180000       -0.0820000        0.0220000
